SimaPro 7.3;method;Date:;7/18/2011;Time:;2:35 PM
Air;low. pop.;Vinyl acetate;000108-05-4;0,0000773;kg 1,4-DB eq / kg
Air;low. pop., long-term;Vinyl acetate;000108-05-4;0,0000773;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Vinyl acetate;000108-05-4;0,0000773;kg 1,4-DB eq / kg
Air;(unspecified);Xylene;001330-20-7;0,00000836;kg 1,4-DB eq / kg
Air;low. pop.;Xylene;001330-20-7;0,00000667;kg 1,4-DB eq / kg
Air;low. pop., long-term;Xylene;001330-20-7;0,00000667;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Xylene;001330-20-7;0,00000667;kg 1,4-DB eq / kg
Water;(unspecified);Xylene;001330-20-7;0,0000058;kg 1,4-DB eq / kg
Water;ocean;Xylene;001330-20-7;0,00000171;kg 1,4-DB eq / kg
Air;(unspecified);Zinc;007440-66-6;3,55;kg 1,4-DB eq / kg
Air;low. pop.;Zinc;007440-66-6;1,31;kg 1,4-DB eq / kg
Air;low. pop., long-term;Zinc;007440-66-6;1,31;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Zinc;007440-66-6;1,31;kg 1,4-DB eq / kg
Soil;(unspecified);Zinc;007440-66-6;5,18;kg 1,4-DB eq / kg
Soil;agricultural;Zinc;007440-66-6;1,14;kg 1,4-DB eq / kg
Water;(unspecified);Zinc, ion;023713-49-7;6,70E-23;kg 1,4-DB eq / kg
Water;ocean;Zinc, ion;023713-49-7;1,68E-22;kg 1,4-DB eq / kg
Soil;(unspecified);Zineb;012122-67-7;0,715;kg 1,4-DB eq / kg

Impact category;Freshwater ecotoxicity;kg 1,4-DB eq;;;
Water;(unspecified);1-Butanol;000071-36-3;0,00784;kg 1,4-DB eq / kg
Water;ocean;1-Butanol;000071-36-3;0,000000684;kg 1,4-DB eq / kg
Air;(unspecified);1-Octanol;000111-87-5;0,00123;kg 1,4-DB eq / kg
Air;low. pop.;1-Octanol;000111-87-5;0,00148;kg 1,4-DB eq / kg
Air;low. pop., long-term;1-Octanol;000111-87-5;0,00148;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;1-Octanol;000111-87-5;0,00148;kg 1,4-DB eq / kg
Water;(unspecified);1-Octanol;000111-87-5;0,279;kg 1,4-DB eq / kg
Water;ocean;1-Octanol;000111-87-5;0,0000251;kg 1,4-DB eq / kg
Air;(unspecified);1,4-Dioxane;000123-91-1;0,000128;kg 1,4-DB eq / kg
Air;low. pop.;1,4-Dioxane;000123-91-1;0,0000957;kg 1,4-DB eq / kg
Air;low. pop., long-term;1,4-Dioxane;000123-91-1;0,0000957;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;1,4-Dioxane;000123-91-1;0,0000957;kg 1,4-DB eq / kg
Water;(unspecified);1,4-Dioxane;000123-91-1;0,00888;kg 1,4-DB eq / kg
Water;ocean;1,4-Dioxane;000123-91-1;0,00000768;kg 1,4-DB eq / kg
Air;(unspecified);2-Acetylaminofluorene;000053-96-3;0,0166;kg 1,4-DB eq / kg
Air;low. pop.;2-Acetylaminofluorene;000053-96-3;0,0086;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Acetylaminofluorene;000053-96-3;0,0086;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Acetylaminofluorene;000053-96-3;0,0086;kg 1,4-DB eq / kg
Air;(unspecified);2-Benzothiazolethiol;000149-30-4;1,02;kg 1,4-DB eq / kg
Air;low. pop.;2-Benzothiazolethiol;000149-30-4;0,232;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Benzothiazolethiol;000149-30-4;0,232;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Benzothiazolethiol;000149-30-4;0,232;kg 1,4-DB eq / kg
Water;(unspecified);2-Benzothiazolethiol;000149-30-4;13,8;kg 1,4-DB eq / kg
Water;ocean;2-Benzothiazolethiol;000149-30-4;0,0000598;kg 1,4-DB eq / kg
Water;(unspecified);2-Butanol;000078-92-2;0,00316;kg 1,4-DB eq / kg
Water;ocean;2-Butanol;000078-92-2;0,000000329;kg 1,4-DB eq / kg
Air;(unspecified);2-Butenal;004170-30-3;0,0011;kg 1,4-DB eq / kg
Air;low. pop.;2-Butenal;004170-30-3;0,0012;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Butenal;004170-30-3;0,0012;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Butenal;004170-30-3;0,0012;kg 1,4-DB eq / kg
Water;(unspecified);2-Butenal;004170-30-3;0,3;kg 1,4-DB eq / kg
Water;ocean;2-Butenal;004170-30-3;0,000012;kg 1,4-DB eq / kg
Air;(unspecified);2-Ethoxyethyl acetate;000111-15-9;0,00108;kg 1,4-DB eq / kg
Air;low. pop.;2-Ethoxyethyl acetate;000111-15-9;0,000703;kg 1,4-DB eq / kg
Air;low. pop., long-term;2-Ethoxyethyl acetate;000111-15-9;0,000703;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;2-Ethoxyethyl acetate;000111-15-9;0,000703;kg 1,4-DB eq / kg
Water;(unspecified);2-Ethoxyethyl acetate;000111-15-9;0,0744;kg 1,4-DB eq / kg
Water;ocean;2-Ethoxyethyl acetate;000111-15-9;0,00000174;kg 1,4-DB eq / kg
Water;(unspecified);2-Propanol;000067-63-0;0,0014;kg 1,4-DB eq / kg
Water;ocean;2-Propanol;000067-63-0;0,000000192;kg 1,4-DB eq / kg
Soil;(unspecified);2,4-D;000094-75-7;0,0293;kg 1,4-DB eq / kg
Soil;(unspecified);2,4,5-T;000093-76-5;0,203;kg 1,4-DB eq / kg
Soil;(unspecified);2,6-Dichloro-4-nitroaniline;000099-30-9;1,27;kg 1,4-DB eq / kg
Soil;(unspecified);Abamectin;071751-41-2;19,8;kg 1,4-DB eq / kg
Water;(unspecified);Acenaphthene;000083-32-9;2,43;kg 1,4-DB eq / kg
Water;ocean;Acenaphthene;000083-32-9;0,0000028;kg 1,4-DB eq / kg
Soil;(unspecified);Acephate;030560-19-1;0,143;kg 1,4-DB eq / kg
Air;(unspecified);Acetaldehyde;000075-07-0;0,000378;kg 1,4-DB eq / kg
Air;low. pop.;Acetaldehyde;000075-07-0;0,000493;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetaldehyde;000075-07-0;0,000493;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetaldehyde;000075-07-0;0,000493;kg 1,4-DB eq / kg
Air;(unspecified);Acetamide;000060-35-5;0,000116;kg 1,4-DB eq / kg
Air;low. pop.;Acetamide;000060-35-5;0,00003;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetamide;000060-35-5;0,00003;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetamide;000060-35-5;0,00003;kg 1,4-DB eq / kg
Water;(unspecified);Acetamide;000060-35-5;0,000589;kg 1,4-DB eq / kg
Water;ocean;Acetamide;000060-35-5;1,45E-10;kg 1,4-DB eq / kg
Air;(unspecified);Acetic acid;000064-19-7;0,00945;kg 1,4-DB eq / kg
Air;low. pop.;Acetic acid;000064-19-7;0,0026;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetic acid;000064-19-7;0,0026;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetic acid;000064-19-7;0,0026;kg 1,4-DB eq / kg
Water;(unspecified);Acetic acid;000064-19-7;0,045;kg 1,4-DB eq / kg
Water;ocean;Acetic acid;000064-19-7;0,000000338;kg 1,4-DB eq / kg
Air;(unspecified);Acetone;000067-64-1;0,0000183;kg 1,4-DB eq / kg
Air;low. pop.;Acetone;000067-64-1;0,0000178;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetone;000067-64-1;0,0000178;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetone;000067-64-1;0,0000178;kg 1,4-DB eq / kg
Water;(unspecified);Acetone;000067-64-1;0,00099;kg 1,4-DB eq / kg
Water;ocean;Acetone;000067-64-1;0,000000579;kg 1,4-DB eq / kg
Air;(unspecified);Acetonitrile;000075-05-8;0,00017;kg 1,4-DB eq / kg
Air;low. pop.;Acetonitrile;000075-05-8;0,000164;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetonitrile;000075-05-8;0,000164;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetonitrile;000075-05-8;0,000164;kg 1,4-DB eq / kg
Water;(unspecified);Acetonitrile;000075-05-8;0,00764;kg 1,4-DB eq / kg
Water;ocean;Acetonitrile;000075-05-8;0,0000243;kg 1,4-DB eq / kg
Air;(unspecified);Acetophenone;000098-86-2;0,00187;kg 1,4-DB eq / kg
Air;low. pop.;Acetophenone;000098-86-2;0,00173;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetophenone;000098-86-2;0,00173;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetophenone;000098-86-2;0,00173;kg 1,4-DB eq / kg
Water;(unspecified);Acetophenone;000098-86-2;0,117;kg 1,4-DB eq / kg
Water;ocean;Acetophenone;000098-86-2;0,0000464;kg 1,4-DB eq / kg
Soil;(unspecified);Aclonifen;074070-46-5;0,712;kg 1,4-DB eq / kg
Air;(unspecified);Acrolein;000107-02-8;0,487;kg 1,4-DB eq / kg
Air;low. pop.;Acrolein;000107-02-8;0,583;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrolein;000107-02-8;0,583;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrolein;000107-02-8;0,583;kg 1,4-DB eq / kg
Air;(unspecified);Acrylamide;000079-06-1;0,00366;kg 1,4-DB eq / kg
Air;low. pop.;Acrylamide;000079-06-1;0,00103;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrylamide;000079-06-1;0,00103;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrylamide;000079-06-1;0,00103;kg 1,4-DB eq / kg
Water;(unspecified);Acrylamide;000079-06-1;0,043;kg 1,4-DB eq / kg
Water;ocean;Acrylamide;000079-06-1;7,19E-10;kg 1,4-DB eq / kg
Air;(unspecified);Acrylic acid;000079-10-7;0,00697;kg 1,4-DB eq / kg
Air;low. pop.;Acrylic acid;000079-10-7;0,00171;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrylic acid;000079-10-7;0,00171;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrylic acid;000079-10-7;0,00171;kg 1,4-DB eq / kg
Water;(unspecified);Acrylic acid;000079-10-7;0,0397;kg 1,4-DB eq / kg
Water;ocean;Acrylic acid;000079-10-7;5,06E-11;kg 1,4-DB eq / kg
Water;(unspecified);Acrylonitrile;000107-13-1;0,34;kg 1,4-DB eq / kg
Water;ocean;Acrylonitrile;000107-13-1;0,000292;kg 1,4-DB eq / kg
Air;(unspecified);Aldehydes, unspecified;;0,0116;kg 1,4-DB eq / kg
Air;low. pop.;Aldehydes, unspecified;;0,00388;kg 1,4-DB eq / kg
Air;low. pop., long-term;Aldehydes, unspecified;;0,00388;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Aldehydes, unspecified;;0,00388;kg 1,4-DB eq / kg
Soil;(unspecified);Aldicarb;000116-06-3;37,5;kg 1,4-DB eq / kg
Soil;(unspecified);Aldoxycarb;001646-88-4;1,51;kg 1,4-DB eq / kg
Air;(unspecified);Allyl chloride;000107-05-1;0,00000803;kg 1,4-DB eq / kg
Air;low. pop.;Allyl chloride;000107-05-1;0,000011;kg 1,4-DB eq / kg
Air;low. pop., long-term;Allyl chloride;000107-05-1;0,000011;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Allyl chloride;000107-05-1;0,000011;kg 1,4-DB eq / kg
Water;(unspecified);Allyl chloride;000107-05-1;0,238;kg 1,4-DB eq / kg
Water;ocean;Allyl chloride;000107-05-1;0,000000754;kg 1,4-DB eq / kg
Air;(unspecified);Allylamine;000107-11-9;0,000494;kg 1,4-DB eq / kg
Air;low. pop.;Allylamine;000107-11-9;0,000729;kg 1,4-DB eq / kg
Air;low. pop., long-term;Allylamine;000107-11-9;0,000729;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Allylamine;000107-11-9;0,000729;kg 1,4-DB eq / kg
Water;(unspecified);Allylamine;000107-11-9;0,291;kg 1,4-DB eq / kg
Water;ocean;Allylamine;000107-11-9;0,0000129;kg 1,4-DB eq / kg
Soil;(unspecified);Alpha-cypermethrin;067375-30-8;11,1;kg 1,4-DB eq / kg
Soil;(unspecified);Aluminium phosphide;020859-73-8;10,4;kg 1,4-DB eq / kg
Soil;(unspecified);Ametryn;000834-12-8;9,45;kg 1,4-DB eq / kg
Soil;(unspecified);Amitraz;033089-61-1;0,0487;kg 1,4-DB eq / kg
Air;(unspecified);Ammonium carbonate;000506-87-6;0,325;kg 1,4-DB eq / kg
Air;low. pop.;Ammonium carbonate;000506-87-6;0,0949;kg 1,4-DB eq / kg
Air;low. pop., long-term;Ammonium carbonate;000506-87-6;0,0949;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Ammonium carbonate;000506-87-6;0,0949;kg 1,4-DB eq / kg
Air;(unspecified);Aniline;000062-53-3;0,04;kg 1,4-DB eq / kg
Air;low. pop.;Aniline;000062-53-3;0,00786;kg 1,4-DB eq / kg
Air;low. pop., long-term;Aniline;000062-53-3;0,00786;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Aniline;000062-53-3;0,00786;kg 1,4-DB eq / kg
Water;(unspecified);Aniline;000062-53-3;0,624;kg 1,4-DB eq / kg
Water;ocean;Aniline;000062-53-3;1,99E-08;kg 1,4-DB eq / kg
Air;(unspecified);Anthracene;000120-12-7;0,0144;kg 1,4-DB eq / kg
Air;low. pop.;Anthracene;000120-12-7;0,0178;kg 1,4-DB eq / kg
Air;low. pop., long-term;Anthracene;000120-12-7;0,0178;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Anthracene;000120-12-7;0,0178;kg 1,4-DB eq / kg
Water;(unspecified);Anthracene;000120-12-7;3,94;kg 1,4-DB eq / kg
Water;ocean;Anthracene;000120-12-7;0,00000225;kg 1,4-DB eq / kg
Soil;(unspecified);Anthracene;000120-12-7;0,0152;kg 1,4-DB eq / kg
Air;(unspecified);Antimony;007440-36-0;1,54;kg 1,4-DB eq / kg
Air;low. pop.;Antimony;007440-36-0;0,804;kg 1,4-DB eq / kg
Air;low. pop., long-term;Antimony;007440-36-0;0,804;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Antimony;007440-36-0;0,804;kg 1,4-DB eq / kg
Water;(unspecified);Antimony;007440-36-0;15,4;kg 1,4-DB eq / kg
Water;ocean;Antimony;007440-36-0;1,46E-22;kg 1,4-DB eq / kg
Soil;(unspecified);Antimony;007440-36-0;3,21;kg 1,4-DB eq / kg
Soil;agricultural;Antimony;007440-36-0;1,63;kg 1,4-DB eq / kg
Soil;forestry;Antimony;007440-36-0;0,391;kg 1,4-DB eq / kg
Air;(unspecified);Arsenic;007440-38-2;0,202;kg 1,4-DB eq / kg
Air;low. pop.;Arsenic;007440-38-2;0,231;kg 1,4-DB eq / kg
Air;low. pop., long-term;Arsenic;007440-38-2;0,231;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Arsenic;007440-38-2;0,231;kg 1,4-DB eq / kg
Soil;(unspecified);Arsenic;007440-38-2;0,135;kg 1,4-DB eq / kg
Soil;agricultural;Arsenic;007440-38-2;0,0856;kg 1,4-DB eq / kg
Soil;forestry;Arsenic;007440-38-2;0,0537;kg 1,4-DB eq / kg
Water;(unspecified);Arsenic, ion;017428-41-0;15,6;kg 1,4-DB eq / kg
Water;ocean;Arsenic, ion;017428-41-0;5,01E-23;kg 1,4-DB eq / kg
Soil;(unspecified);Asulam;003337-71-1;0,000717;kg 1,4-DB eq / kg
Soil;(unspecified);Atrazine;001912-24-9;27,6;kg 1,4-DB eq / kg
Soil;(unspecified);Azadirachtin;011141-17-6;1,72;kg 1,4-DB eq / kg
Soil;(unspecified);Azinphos-methyl;000086-50-0;7,89;kg 1,4-DB eq / kg
Air;(unspecified);Barium;007440-39-3;0,358;kg 1,4-DB eq / kg
Air;low. pop.;Barium;007440-39-3;0,178;kg 1,4-DB eq / kg
Air;low. pop., long-term;Barium;007440-39-3;0,178;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Barium;007440-39-3;0,178;kg 1,4-DB eq / kg
Water;(unspecified);Barium;007440-39-3;2,69;kg 1,4-DB eq / kg
Water;ocean;Barium;007440-39-3;3,17E-23;kg 1,4-DB eq / kg
Soil;(unspecified);Barium;007440-39-3;0,763;kg 1,4-DB eq / kg
Soil;agricultural;Barium;007440-39-3;0,385;kg 1,4-DB eq / kg
Soil;forestry;Barium;007440-39-3;0,0905;kg 1,4-DB eq / kg
Soil;(unspecified);Bendiocarb;022781-23-3;8,61;kg 1,4-DB eq / kg
Soil;(unspecified);Benomyl;017804-35-2;0,06;kg 1,4-DB eq / kg
Soil;(unspecified);Bentazone;025057-89-0;0,0393;kg 1,4-DB eq / kg
Air;(unspecified);Benzaldehyde;000100-52-7;0,00149;kg 1,4-DB eq / kg
Air;low. pop.;Benzaldehyde;000100-52-7;0,00172;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzaldehyde;000100-52-7;0,00172;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzaldehyde;000100-52-7;0,00172;kg 1,4-DB eq / kg
Water;(unspecified);Benzaldehyde;000100-52-7;0,285;kg 1,4-DB eq / kg
Water;ocean;Benzaldehyde;000100-52-7;0,0000328;kg 1,4-DB eq / kg
Air;(unspecified);Benzenamine, 4-methyl-;000106-49-0;0,0113;kg 1,4-DB eq / kg
Air;low. pop.;Benzenamine, 4-methyl-;000106-49-0;0,00878;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzenamine, 4-methyl-;000106-49-0;0,00878;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzenamine, 4-methyl-;000106-49-0;0,00878;kg 1,4-DB eq / kg
Water;(unspecified);Benzenamine, 4-methyl-;000106-49-0;6,47;kg 1,4-DB eq / kg
Water;ocean;Benzenamine, 4-methyl-;000106-49-0;0,0024;kg 1,4-DB eq / kg
Air;(unspecified);Benzene;000071-43-2;0,0000318;kg 1,4-DB eq / kg
Air;low. pop.;Benzene;000071-43-2;0,0000325;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene;000071-43-2;0,0000325;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene;000071-43-2;0,0000325;kg 1,4-DB eq / kg
Water;(unspecified);Benzene;000071-43-2;0,0682;kg 1,4-DB eq / kg
Water;ocean;Benzene;000071-43-2;0,00000624;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, (epoxyethyl)-;000096-09-3;0,0018;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, (epoxyethyl)-;000096-09-3;0,00188;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, (epoxyethyl)-;000096-09-3;0,00188;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, (epoxyethyl)-;000096-09-3;0,00188;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,2-dichloro-;000095-50-1;0,00111;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,2-dichloro-;000095-50-1;0,00112;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,2-dichloro-;000095-50-1;0,00112;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,2-dichloro-;000095-50-1;0,00112;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,2-dichloro-;000095-50-1;0,757;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,2-dichloro-;000095-50-1;0,000621;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,2-dinitro-;000528-29-0;17,3;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,2-dinitro-;000528-29-0;5,14;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,2-dinitro-;000528-29-0;5,14;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,2-dinitro-;000528-29-0;5,14;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,2-dinitro-;000528-29-0;59,3;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,2-dinitro-;000528-29-0;0,00915;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,2,4-trichloro-;000120-82-1;0,00488;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,2,4-trichloro-;000120-82-1;0,00492;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,2,4-trichloro-;000120-82-1;0,00492;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,2,4-trichloro-;000120-82-1;0,00492;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,2,4-trichloro-;000120-82-1;3,51;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,2,4-trichloro-;000120-82-1;0,00266;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,2,4-trimethyl-;000095-63-6;1,06;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,2,4-trimethyl-;000095-63-6;0,00000996;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,3-dichloro-;000541-73-1;0,000503;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,3-dichloro-;000541-73-1;0,000508;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,3-dichloro-;000541-73-1;0,000508;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,3-dichloro-;000541-73-1;0,000508;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,3-dichloro-;000541-73-1;0,546;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,3-dichloro-;000541-73-1;0,000283;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,3-dinitro-;000099-65-0;2,5;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,3-dinitro-;000099-65-0;0,892;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,3-dinitro-;000099-65-0;0,892;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,3-dinitro-;000099-65-0;0,892;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,3-dinitro-;000099-65-0;12,3;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,3-dinitro-;000099-65-0;0,000619;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,3,5-trimethyl-;000108-67-8;0,331;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,3,5-trimethyl-;000108-67-8;0,000000963;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,4-dichloro-;000106-46-7;0,00118;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,4-dichloro-;000106-46-7;0,00118;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,4-dichloro-;000106-46-7;0,00118;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,4-dichloro-;000106-46-7;0,00118;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,4-dichloro-;000106-46-7;1;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,4-dichloro-;000106-46-7;0,00066;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, 1,4-dinitro-;000100-25-4;0,154;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, 1,4-dinitro-;000100-25-4;0,15;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, 1,4-dinitro-;000100-25-4;0,15;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, 1,4-dinitro-;000100-25-4;0,15;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, 1,4-dinitro-;000100-25-4;8,5;kg 1,4-DB eq / kg
Water;ocean;Benzene, 1,4-dinitro-;000100-25-4;0,0383;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, chloro-;000108-90-7;0,721;kg 1,4-DB eq / kg
Water;ocean;Benzene, chloro-;000108-90-7;0,000245;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, ethyl-;000100-41-4;0,0000216;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, ethyl-;000100-41-4;0,0000252;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, ethyl-;000100-41-4;0,0000252;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, ethyl-;000100-41-4;0,0000252;kg 1,4-DB eq / kg
Water;(unspecified);Benzene, ethyl-;000100-41-4;0,221;kg 1,4-DB eq / kg
Water;ocean;Benzene, ethyl-;000100-41-4;0,00000304;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, hexachloro-;000118-74-1;0,134;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, hexachloro-;000118-74-1;0,134;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, hexachloro-;000118-74-1;0,134;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, hexachloro-;000118-74-1;0,134;kg 1,4-DB eq / kg
Air;(unspecified);Benzene, pentachloro-;000608-93-5;0,065;kg 1,4-DB eq / kg
Air;low. pop.;Benzene, pentachloro-;000608-93-5;0,0648;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzene, pentachloro-;000608-93-5;0,0648;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzene, pentachloro-;000608-93-5;0,0648;kg 1,4-DB eq / kg
Air;(unspecified);Benzidine;000092-87-5;0,223;kg 1,4-DB eq / kg
Air;low. pop.;Benzidine;000092-87-5;0,0423;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzidine;000092-87-5;0,0423;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzidine;000092-87-5;0,0423;kg 1,4-DB eq / kg
Air;(unspecified);Benzidine, 3,3'-dichloro-;000091-94-1;5,25;kg 1,4-DB eq / kg
Air;low. pop.;Benzidine, 3,3'-dichloro-;000091-94-1;1,33;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzidine, 3,3'-dichloro-;000091-94-1;1,33;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzidine, 3,3'-dichloro-;000091-94-1;1,33;kg 1,4-DB eq / kg
Air;(unspecified);Benzidine, 3,3'-dimethyl-;000119-93-7;1;kg 1,4-DB eq / kg
Air;low. pop.;Benzidine, 3,3'-dimethyl-;000119-93-7;0,173;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzidine, 3,3'-dimethyl-;000119-93-7;0,173;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzidine, 3,3'-dimethyl-;000119-93-7;0,173;kg 1,4-DB eq / kg
Water;(unspecified);Benzidine, 3,3'-dimethyl-;000119-93-7;17,8;kg 1,4-DB eq / kg
Water;ocean;Benzidine, 3,3'-dimethyl-;000119-93-7;0,00000398;kg 1,4-DB eq / kg
Air;(unspecified);Benzo(a)pyrene;000050-32-8;0,00224;kg 1,4-DB eq / kg
Air;low. pop.;Benzo(a)pyrene;000050-32-8;0,00391;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzo(a)pyrene;000050-32-8;0,00391;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzo(a)pyrene;000050-32-8;0,00391;kg 1,4-DB eq / kg
Air;(unspecified);Benzotrichloride;000098-07-7;1,21E-08;kg 1,4-DB eq / kg
Air;low. pop.;Benzotrichloride;000098-07-7;1,26E-08;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzotrichloride;000098-07-7;1,26E-08;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Benzotrichloride;000098-07-7;1,26E-08;kg 1,4-DB eq / kg
Air;(unspecified);Benzoyl chloride;000098-88-4;0,00293;kg 1,4-DB eq / kg
